stop_id,route_id,hour,day_of_week,tap_in_count_15m,scheduled_headway_minutes,vehicle_capacity,event_flag,rainfall_level,density_level,load_factor
TJ_CAWANG,MKT_01,22,3,1,12,12,1,3,LOW,0.083
KRL_TANAH_ABANG,MRT_NS,21,0,608,5,1200,0,3,MEDIUM,0.507
KRL_CAWANG,MKT_01,17,5,28,12,12,1,1,OVERLOADED,2.333
KRL_TANAH_ABANG,KRL_CL,10,6,391,5,1200,0,1,LOW,0.326
TJ_BLOK_M,TJ_01,22,0,23,8,80,0,0,LOW,0.287
TJ_CAWANG,MKT_01,20,0,4,12,12,1,0,LOW,0.333
TJ_CAWANG,TJ_02,8,4,131,8,80,0,3,OVERLOADED,1.637
MRT_DUKUH_ATAS,MRT_NS,12,3,984,5,1200,0,3,HIGH,0.82
TJ_DUKUH_ATAS,TJ_02,9,5,107,8,80,0,0,OVERLOADED,1.337
TJ_CAWANG,MRT_NS,15,1,1090,5,1200,1,0,HIGH,0.908
TJ_DUKUH_ATAS,KRL_CL,6,4,346,5,1200,0,2,LOW,0.288
MRT_DUKUH_ATAS,TJ_02,6,5,33,8,80,1,3,LOW,0.412
TJ_DUKUH_ATAS,MKT_01,20,4,7,12,12,0,2,MEDIUM,0.583
TJ_BLOK_M,KRL_CL,20,0,671,5,1200,0,0,MEDIUM,0.559
KRL_CAWANG,TJ_01,8,2,66,8,80,1,3,HIGH,0.825
MRT_DUKUH_ATAS,TJ_02,14,1,45,8,80,1,2,MEDIUM,0.562
KRL_CAWANG,TJ_01,5,1,30,8,80,0,2,LOW,0.375
TJ_BLOK_M,KRL_CL,10,1,632,5,1200,0,3,MEDIUM,0.527
TJ_BLOK_M,MRT_NS,18,0,1969,5,1200,1,3,OVERLOADED,1.641
KRL_CAWANG,KRL_CL,18,3,1021,5,1200,0,0,HIGH,0.851
KRL_TANAH_ABANG,KRL_CL,6,1,601,5,1200,0,0,MEDIUM,0.501
TJ_CAWANG,MKT_01,22,0,5,12,12,0,1,LOW,0.417
KRL_TANAH_ABANG,MRT_NS,5,4,1114,5,1200,1,3,HIGH,0.928
KRL_TANAH_ABANG,KRL_CL,8,6,1320,5,1200,0,2,OVERLOADED,1.1
TJ_DUKUH_ATAS,TJ_02,21,1,33,8,80,0,0,LOW,0.412
TJ_DUKUH_ATAS,KRL_CL,5,1,823,5,1200,0,0,MEDIUM,0.686
TJ_DUKUH_ATAS,TJ_01,21,5,64,8,80,1,2,HIGH,0.8
TJ_BLOK_M,KRL_CL,19,1,2474,5,1200,1,0,OVERLOADED,2.062
TJ_CAWANG,MKT_01,6,3,5,12,12,0,0,LOW,0.417
TJ_BLOK_M,TJ_01,18,1,73,8,80,0,2,HIGH,0.912
TJ_BLOK_M,KRL_CL,16,0,1107,5,1200,0,3,HIGH,0.922
KRL_CAWANG,MKT_01,18,4,17,12,12,0,0,OVERLOADED,1.417
TJ_DUKUH_ATAS,MRT_NS,10,2,692,5,1200,1,3,MEDIUM,0.577
KRL_TANAH_ABANG,TJ_02,21,1,65,8,80,1,1,HIGH,0.812
TJ_CAWANG,MKT_01,11,3,0,12,12,0,3,LOW,0.0
MRT_DUKUH_ATAS,TJ_01,9,0,159,8,80,0,2,OVERLOADED,1.988
KRL_TANAH_ABANG,TJ_02,16,3,39,8,80,0,3,MEDIUM,0.487
TJ_BLOK_M,TJ_01,15,1,40,8,80,1,3,MEDIUM,0.5
TJ_CAWANG,KRL_CL,11,4,464,5,1200,1,0,LOW,0.387
KRL_TANAH_ABANG,MKT_01,13,6,8,12,12,1,1,MEDIUM,0.667
TJ_CAWANG,TJ_02,16,2,141,8,80,0,0,OVERLOADED,1.762
TJ_CAWANG,TJ_01,19,5,104,8,80,0,0,OVERLOADED,1.3
TJ_DUKUH_ATAS,MKT_01,17,1,10,12,12,0,3,HIGH,0.833
KRL_CAWANG,MKT_01,21,2,5,12,12,0,1,LOW,0.417
TJ_BLOK_M,TJ_02,13,4,54,8,80,0,2,MEDIUM,0.675
KRL_TANAH_ABANG,MKT_01,20,2,3,12,12,1,0,LOW,0.25
KRL_CAWANG,MRT_NS,11,1,632,5,1200,1,3,MEDIUM,0.527
TJ_BLOK_M,TJ_02,10,3,50,8,80,0,0,MEDIUM,0.625
TJ_CAWANG,MRT_NS,14,4,445,5,1200,1,2,LOW,0.371
KRL_CAWANG,MRT_NS,10,3,928,5,1200,1,0,HIGH,0.773
TJ_CAWANG,MKT_01,10,5,2,12,12,0,0,LOW,0.167
KRL_CAWANG,MRT_NS,13,0,816,5,1200,1,0,MEDIUM,0.68
TJ_DUKUH_ATAS,MRT_NS,13,6,383,5,1200,0,0,LOW,0.319
KRL_CAWANG,MRT_NS,6,5,934,5,1200,0,2,HIGH,0.778
TJ_CAWANG,TJ_01,13,1,34,8,80,0,0,LOW,0.425
TJ_BLOK_M,MKT_01,12,1,4,12,12,0,0,LOW,0.333
MRT_DUKUH_ATAS,MKT_01,21,5,10,12,12,1,0,HIGH,0.833
TJ_CAWANG,TJ_02,14,4,13,8,80,0,3,LOW,0.163
TJ_BLOK_M,KRL_CL,19,1,1344,5,1200,0,3,OVERLOADED,1.12
TJ_CAWANG,KRL_CL,17,6,1988,5,1200,0,0,OVERLOADED,1.657
KRL_CAWANG,TJ_02,20,5,50,8,80,0,0,MEDIUM,0.625
KRL_CAWANG,MRT_NS,13,0,687,5,1200,0,3,MEDIUM,0.573
TJ_DUKUH_ATAS,TJ_02,20,6,46,8,80,1,2,MEDIUM,0.575
MRT_DUKUH_ATAS,KRL_CL,12,3,521,5,1200,1,1,LOW,0.434
KRL_TANAH_ABANG,TJ_02,14,2,42,8,80,1,0,MEDIUM,0.525
KRL_TANAH_ABANG,TJ_02,5,1,50,8,80,0,0,MEDIUM,0.625
MRT_DUKUH_ATAS,KRL_CL,15,5,786,5,1200,1,2,MEDIUM,0.655
KRL_CAWANG,MRT_NS,12,6,952,5,1200,0,3,HIGH,0.793
KRL_CAWANG,TJ_01,22,2,63,8,80,0,2,HIGH,0.787
MRT_DUKUH_ATAS,TJ_02,16,3,124,8,80,1,0,OVERLOADED,1.55
MRT_DUKUH_ATAS,MKT_01,18,1,13,12,12,0,2,OVERLOADED,1.083
KRL_CAWANG,KRL_CL,14,0,788,5,1200,0,3,MEDIUM,0.657
KRL_TANAH_ABANG,MKT_01,18,5,21,12,12,1,3,OVERLOADED,1.75
KRL_CAWANG,TJ_01,11,1,44,8,80,0,2,MEDIUM,0.55
KRL_CAWANG,TJ_01,6,6,53,8,80,0,0,MEDIUM,0.662
TJ_BLOK_M,TJ_02,14,0,46,8,80,0,0,MEDIUM,0.575
TJ_DUKUH_ATAS,TJ_02,14,3,39,8,80,0,0,MEDIUM,0.487
MRT_DUKUH_ATAS,TJ_02,20,3,62,8,80,1,3,HIGH,0.775
KRL_TANAH_ABANG,MRT_NS,18,3,2607,5,1200,1,3,OVERLOADED,2.172
KRL_CAWANG,TJ_02,11,4,62,8,80,1,1,HIGH,0.775
TJ_BLOK_M,KRL_CL,21,4,1097,5,1200,1,0,HIGH,0.914
TJ_DUKUH_ATAS,TJ_01,17,6,46,8,80,0,2,MEDIUM,0.575
KRL_TANAH_ABANG,MKT_01,10,6,10,12,12,0,0,HIGH,0.833
TJ_BLOK_M,TJ_01,8,5,64,8,80,0,3,HIGH,0.8
TJ_DUKUH_ATAS,KRL_CL,11,2,830,5,1200,1,0,MEDIUM,0.692
MRT_DUKUH_ATAS,TJ_01,21,6,52,8,80,0,0,MEDIUM,0.65
TJ_CAWANG,TJ_02,15,1,46,8,80,0,0,MEDIUM,0.575
MRT_DUKUH_ATAS,MRT_NS,22,4,544,5,1200,0,3,MEDIUM,0.453
TJ_CAWANG,KRL_CL,18,6,2127,5,1200,1,2,OVERLOADED,1.772
KRL_CAWANG,KRL_CL,9,6,1292,5,1200,0,1,OVERLOADED,1.077
TJ_BLOK_M,MKT_01,10,3,9,12,12,0,0,HIGH,0.75
TJ_BLOK_M,KRL_CL,17,2,1240,5,1200,0,3,OVERLOADED,1.033
KRL_TANAH_ABANG,MKT_01,18,6,24,12,12,1,3,OVERLOADED,2.0
TJ_BLOK_M,TJ_01,15,0,62,8,80,0,1,HIGH,0.775
TJ_CAWANG,KRL_CL,16,3,1951,5,1200,0,1,OVERLOADED,1.626
TJ_BLOK_M,KRL_CL,7,6,1245,5,1200,0,0,OVERLOADED,1.038
TJ_BLOK_M,MKT_01,17,4,9,12,12,0,2,HIGH,0.75
KRL_TANAH_ABANG,TJ_01,19,1,60,8,80,1,1,HIGH,0.75
KRL_TANAH_ABANG,TJ_02,18,0,127,8,80,0,3,OVERLOADED,1.587
KRL_TANAH_ABANG,KRL_CL,10,0,961,5,1200,1,3,HIGH,0.801
TJ_CAWANG,MKT_01,22,2,5,12,12,0,0,LOW,0.417
TJ_BLOK_M,TJ_01,8,3,173,8,80,1,1,OVERLOADED,2.163
TJ_DUKUH_ATAS,TJ_02,21,6,41,8,80,0,0,MEDIUM,0.512
TJ_DUKUH_ATAS,MKT_01,15,0,5,12,12,0,2,LOW,0.417
KRL_CAWANG,KRL_CL,22,6,307,5,1200,1,2,LOW,0.256
KRL_TANAH_ABANG,MKT_01,14,1,2,12,12,0,3,LOW,0.167
TJ_DUKUH_ATAS,KRL_CL,17,4,674,5,1200,0,3,MEDIUM,0.562
TJ_DUKUH_ATAS,MKT_01,5,1,6,12,12,1,1,MEDIUM,0.5
MRT_DUKUH_ATAS,KRL_CL,13,0,652,5,1200,1,0,MEDIUM,0.543
KRL_CAWANG,TJ_02,15,4,78,8,80,1,3,HIGH,0.975
MRT_DUKUH_ATAS,TJ_02,19,4,77,8,80,0,2,HIGH,0.963
KRL_TANAH_ABANG,TJ_01,12,6,37,8,80,0,1,MEDIUM,0.463
TJ_DUKUH_ATAS,TJ_02,7,1,78,8,80,0,0,HIGH,0.975
MRT_DUKUH_ATAS,MKT_01,17,0,12,12,12,1,2,OVERLOADED,1.0
TJ_CAWANG,MKT_01,19,3,14,12,12,1,0,OVERLOADED,1.167
TJ_CAWANG,TJ_02,18,0,132,8,80,0,3,OVERLOADED,1.65
TJ_BLOK_M,TJ_01,7,3,56,8,80,0,1,MEDIUM,0.7
TJ_CAWANG,MKT_01,7,2,17,12,12,0,2,OVERLOADED,1.417
MRT_DUKUH_ATAS,KRL_CL,17,6,1688,5,1200,1,3,OVERLOADED,1.407
TJ_CAWANG,TJ_02,16,4,104,8,80,0,2,OVERLOADED,1.3
TJ_BLOK_M,MRT_NS,18,6,1652,5,1200,0,0,OVERLOADED,1.377
TJ_DUKUH_ATAS,KRL_CL,5,6,713,5,1200,1,2,MEDIUM,0.594
KRL_TANAH_ABANG,MRT_NS,20,1,503,5,1200,0,3,LOW,0.419
TJ_CAWANG,TJ_01,22,5,52,8,80,0,0,MEDIUM,0.65
TJ_BLOK_M,KRL_CL,10,3,662,5,1200,0,0,MEDIUM,0.552
MRT_DUKUH_ATAS,KRL_CL,18,6,1029,5,1200,0,1,HIGH,0.858
KRL_TANAH_ABANG,KRL_CL,11,4,683,5,1200,0,0,MEDIUM,0.569
KRL_TANAH_ABANG,TJ_02,9,4,127,8,80,0,0,OVERLOADED,1.587
KRL_CAWANG,TJ_01,13,1,58,8,80,1,3,MEDIUM,0.725
TJ_DUKUH_ATAS,MKT_01,5,1,4,12,12,0,2,LOW,0.333
KRL_TANAH_ABANG,KRL_CL,16,0,1173,5,1200,0,3,HIGH,0.978
MRT_DUKUH_ATAS,MRT_NS,16,1,656,5,1200,0,3,MEDIUM,0.547
KRL_CAWANG,KRL_CL,11,2,469,5,1200,0,2,LOW,0.391
KRL_CAWANG,TJ_01,19,5,108,8,80,1,2,OVERLOADED,1.35
KRL_CAWANG,KRL_CL,15,0,555,5,1200,0,2,MEDIUM,0.463
TJ_BLOK_M,TJ_01,14,3,25,8,80,0,1,LOW,0.312
TJ_DUKUH_ATAS,KRL_CL,17,6,2072,5,1200,0,3,OVERLOADED,1.727
TJ_BLOK_M,TJ_02,10,2,52,8,80,1,3,MEDIUM,0.65
MRT_DUKUH_ATAS,MRT_NS,15,5,801,5,1200,1,1,MEDIUM,0.667
TJ_CAWANG,MKT_01,14,4,5,12,12,0,3,LOW,0.417
MRT_DUKUH_ATAS,TJ_01,6,1,44,8,80,0,2,MEDIUM,0.55
TJ_BLOK_M,TJ_01,21,6,73,8,80,0,0,HIGH,0.912
KRL_CAWANG,TJ_02,17,2,42,8,80,0,0,MEDIUM,0.525
TJ_DUKUH_ATAS,TJ_01,22,0,48,8,80,1,0,MEDIUM,0.6
TJ_CAWANG,MKT_01,18,4,10,12,12,0,0,HIGH,0.833
KRL_TANAH_ABANG,TJ_02,21,0,73,8,80,1,2,HIGH,0.912
TJ_DUKUH_ATAS,TJ_01,17,3,67,8,80,0,0,HIGH,0.838
TJ_BLOK_M,MKT_01,6,0,3,12,12,0,2,LOW,0.25
MRT_DUKUH_ATAS,TJ_02,19,3,71,8,80,0,2,HIGH,0.887
TJ_CAWANG,KRL_CL,18,6,930,5,1200,0,2,HIGH,0.775
TJ_BLOK_M,TJ_01,11,2,32,8,80,1,0,LOW,0.4
TJ_BLOK_M,KRL_CL,16,0,1095,5,1200,0,2,HIGH,0.912
MRT_DUKUH_ATAS,TJ_02,10,3,47,8,80,0,0,MEDIUM,0.588
TJ_CAWANG,MRT_NS,15,5,799,5,1200,0,3,MEDIUM,0.666
TJ_BLOK_M,KRL_CL,14,5,763,5,1200,0,3,MEDIUM,0.636
TJ_CAWANG,MRT_NS,15,3,562,5,1200,1,0,MEDIUM,0.468
MRT_DUKUH_ATAS,KRL_CL,8,0,1946,5,1200,0,2,OVERLOADED,1.622
KRL_TANAH_ABANG,MKT_01,19,1,15,12,12,0,0,OVERLOADED,1.25
TJ_CAWANG,TJ_02,17,0,107,8,80,0,2,OVERLOADED,1.337
MRT_DUKUH_ATAS,TJ_01,15,1,12,8,80,0,1,LOW,0.15
KRL_CAWANG,TJ_02,5,0,47,8,80,0,2,MEDIUM,0.588
KRL_TANAH_ABANG,MRT_NS,5,0,1076,5,1200,1,2,HIGH,0.897
MRT_DUKUH_ATAS,MKT_01,19,5,16,12,12,1,3,OVERLOADED,1.333
MRT_DUKUH_ATAS,KRL_CL,12,0,398,5,1200,0,2,LOW,0.332
TJ_CAWANG,TJ_01,8,4,97,8,80,0,0,OVERLOADED,1.212
KRL_CAWANG,MRT_NS,10,2,506,5,1200,1,2,LOW,0.422
TJ_CAWANG,MKT_01,10,2,3,12,12,0,2,LOW,0.25
TJ_BLOK_M,TJ_01,10,3,67,8,80,1,3,HIGH,0.838
TJ_DUKUH_ATAS,MRT_NS,11,1,701,5,1200,0,2,MEDIUM,0.584
KRL_TANAH_ABANG,KRL_CL,13,3,401,5,1200,0,2,LOW,0.334
TJ_DUKUH_ATAS,MKT_01,6,4,7,12,12,1,1,MEDIUM,0.583
TJ_BLOK_M,MKT_01,21,0,9,12,12,0,3,HIGH,0.75
TJ_BLOK_M,MRT_NS,19,1,2052,5,1200,0,0,OVERLOADED,1.71
TJ_CAWANG,KRL_CL,15,1,495,5,1200,1,3,LOW,0.412
TJ_CAWANG,MKT_01,19,5,25,12,12,1,3,OVERLOADED,2.083
TJ_CAWANG,KRL_CL,22,3,437,5,1200,0,2,LOW,0.364
KRL_TANAH_ABANG,MKT_01,15,0,4,12,12,0,2,LOW,0.333
TJ_BLOK_M,KRL_CL,22,2,931,5,1200,0,0,HIGH,0.776
KRL_CAWANG,TJ_01,17,5,74,8,80,0,1,HIGH,0.925
TJ_BLOK_M,TJ_02,15,0,59,8,80,0,2,MEDIUM,0.738
TJ_BLOK_M,MKT_01,13,4,8,12,12,0,3,MEDIUM,0.667
TJ_CAWANG,KRL_CL,15,0,226,5,1200,0,0,LOW,0.188
TJ_DUKUH_ATAS,MRT_NS,15,3,783,5,1200,0,2,MEDIUM,0.652
TJ_BLOK_M,TJ_02,5,5,39,8,80,0,2,MEDIUM,0.487
MRT_DUKUH_ATAS,TJ_02,18,2,112,8,80,0,0,OVERLOADED,1.4
KRL_TANAH_ABANG,TJ_02,15,4,54,8,80,0,3,MEDIUM,0.675
TJ_CAWANG,MRT_NS,9,0,1745,5,1200,1,3,OVERLOADED,1.454
KRL_TANAH_ABANG,TJ_02,11,0,45,8,80,1,0,MEDIUM,0.562
TJ_BLOK_M,KRL_CL,16,5,1460,5,1200,1,3,OVERLOADED,1.217
KRL_TANAH_ABANG,TJ_02,12,5,47,8,80,1,1,MEDIUM,0.588
KRL_CAWANG,TJ_02,13,4,29,8,80,0,1,LOW,0.362
KRL_CAWANG,TJ_02,9,5,60,8,80,1,0,HIGH,0.75
MRT_DUKUH_ATAS,MKT_01,5,4,12,12,12,1,3,OVERLOADED,1.0
KRL_CAWANG,TJ_01,9,4,146,8,80,1,1,OVERLOADED,1.825
KRL_CAWANG,TJ_01,18,2,130,8,80,1,0,OVERLOADED,1.625
MRT_DUKUH_ATAS,TJ_02,14,5,39,8,80,0,3,MEDIUM,0.487
TJ_DUKUH_ATAS,MKT_01,6,4,5,12,12,0,0,LOW,0.417
KRL_TANAH_ABANG,TJ_02,14,6,35,8,80,0,0,LOW,0.438
TJ_DUKUH_ATAS,MRT_NS,17,5,1240,5,1200,0,0,OVERLOADED,1.033
KRL_CAWANG,TJ_02,21,4,41,8,80,0,0,MEDIUM,0.512
TJ_BLOK_M,TJ_01,11,4,42,8,80,0,3,MEDIUM,0.525
KRL_TANAH_ABANG,TJ_01,5,3,24,8,80,0,2,LOW,0.3
MRT_DUKUH_ATAS,MRT_NS,17,5,380,5,1200,0,0,LOW,0.317
TJ_DUKUH_ATAS,MKT_01,16,5,12,12,12,0,1,OVERLOADED,1.0
MRT_DUKUH_ATAS,MRT_NS,17,0,2098,5,1200,1,0,OVERLOADED,1.748
TJ_CAWANG,TJ_02,17,0,142,8,80,0,3,OVERLOADED,1.775
