event_id,hashed_card_id,mode,route_id,tap_in_stop_id,tap_in_time,tap_out_stop_id,tap_out_time,transfer_flag
18,user_029,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:54:00,MRT_DUKUH_ATAS,2026-05-23 09:10:00,1
19,user_020,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:11:00,TJ_BLOK_M,2026-05-23 07:29:00,1
20,user_077,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:16:00,KRL_SUDIRMAN,2026-05-23 08:53:00,0
21,user_088,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:10:00,TJ_BLOK_M,2026-05-23 08:25:00,0
22,user_038,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:38:00,TJ_BLOK_M,2026-05-23 09:13:00,0
23,user_065,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:58:00,MRT_DUKUH_ATAS,2026-05-23 08:17:00,0
24,user_020,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:51:00,TJ_SENAYAN,2026-05-23 09:22:00,0
25,user_077,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 08:09:00,TJ_BLOK_M,2026-05-23 08:37:00,1
26,user_113,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:02:00,MRT_DUKUH_ATAS,2026-05-23 07:29:00,0
27,user_011,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:07:00,TJ_SENAYAN,2026-05-23 07:46:00,0
28,user_017,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 08:37:00,TJ_DUKUH_ATAS,2026-05-23 09:15:00,0
29,user_028,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:33:00,KRL_SUDIRMAN,2026-05-23 08:15:00,0
30,user_057,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:31:00,MRT_DUKUH_ATAS,2026-05-23 09:12:00,1
31,user_044,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:15:00,TJ_SENAYAN,2026-05-23 07:24:00,0
32,user_091,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:15:00,TJ_SENAYAN,2026-05-23 08:26:00,0
33,user_010,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 07:08:00,TJ_DUKUH_ATAS,2026-05-23 07:48:00,0
34,user_070,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:35:00,TJ_SENAYAN,2026-05-23 07:51:00,1
35,user_025,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:31:00,KRL_SUDIRMAN,2026-05-23 07:45:00,0
36,user_053,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 08:24:00,KRL_SUDIRMAN,2026-05-23 09:01:00,0
37,user_008,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:26:00,TJ_BLOK_M,2026-05-23 08:59:00,0
38,user_025,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:42:00,TJ_SENAYAN,2026-05-23 09:02:00,1
39,user_060,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:17:00,MRT_DUKUH_ATAS,2026-05-23 07:40:00,0
40,user_007,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:56:00,TJ_BLOK_M,2026-05-23 08:38:00,0
41,user_022,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 07:11:00,TJ_SENAYAN,2026-05-23 07:45:00,1
42,user_116,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:01:00,KRL_SUDIRMAN,2026-05-23 08:12:00,0
43,user_034,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:48:00,KRL_SUDIRMAN,2026-05-23 08:25:00,0
44,user_020,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:54:00,KRL_SUDIRMAN,2026-05-23 08:14:00,0
45,user_096,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 07:27:00,TJ_BLOK_M,2026-05-23 07:55:00,0
46,user_008,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:06:00,TJ_SENAYAN,2026-05-23 07:46:00,0
47,user_087,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:48:00,TJ_SENAYAN,2026-05-23 09:11:00,1
48,user_075,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 07:15:00,TJ_SENAYAN,2026-05-23 07:25:00,0
49,user_120,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:53:00,MRT_DUKUH_ATAS,2026-05-23 08:17:00,0
50,user_034,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:25:00,TJ_SENAYAN,2026-05-23 08:58:00,0
51,user_041,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:25:00,KRL_SUDIRMAN,2026-05-23 08:37:00,0
52,user_010,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:58:00,TJ_BLOK_M,2026-05-23 08:40:00,0
53,user_113,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:04:00,MRT_DUKUH_ATAS,2026-05-23 08:16:00,0
54,user_107,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:47:00,KRL_SUDIRMAN,2026-05-23 08:29:00,0
55,user_086,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 08:18:00,TJ_BLOK_M,2026-05-23 09:01:00,0
56,user_034,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:59:00,TJ_SENAYAN,2026-05-23 09:14:00,0
57,user_037,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:35:00,MRT_DUKUH_ATAS,2026-05-23 08:56:00,0
58,user_065,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:26:00,MRT_DUKUH_ATAS,2026-05-23 08:05:00,0
59,user_012,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 08:55:00,TJ_BLOK_M,2026-05-23 09:30:00,0
60,user_082,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:05:00,TJ_DUKUH_ATAS,2026-05-23 07:29:00,0
61,user_072,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 08:34:00,KRL_SUDIRMAN,2026-05-23 08:42:00,0
62,user_070,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 07:09:00,TJ_SENAYAN,2026-05-23 07:19:00,0
63,user_017,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:14:00,KRL_SUDIRMAN,2026-05-23 08:24:00,0
64,user_116,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:46:00,TJ_BLOK_M,2026-05-23 08:16:00,0
65,user_046,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:27:00,TJ_SENAYAN,2026-05-23 09:10:00,1
66,user_111,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:19:00,TJ_SENAYAN,2026-05-23 08:37:00,0
67,user_095,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 08:52:00,TJ_DUKUH_ATAS,2026-05-23 09:21:00,1
68,user_035,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:42:00,TJ_SENAYAN,2026-05-23 09:00:00,0
69,user_029,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:48:00,KRL_SUDIRMAN,2026-05-23 08:08:00,1
70,user_029,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:44:00,TJ_DUKUH_ATAS,2026-05-23 07:53:00,0
71,user_099,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:51:00,TJ_SENAYAN,2026-05-23 08:16:00,0
72,user_004,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 08:22:00,MRT_DUKUH_ATAS,2026-05-23 08:37:00,0
73,user_005,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:22:00,MRT_DUKUH_ATAS,2026-05-23 07:36:00,1
74,user_056,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:44:00,MRT_DUKUH_ATAS,2026-05-23 08:24:00,0
75,user_033,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:49:00,TJ_SENAYAN,2026-05-23 07:59:00,1
76,user_047,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:00:00,TJ_DUKUH_ATAS,2026-05-23 07:35:00,0
77,user_085,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 08:25:00,TJ_DUKUH_ATAS,2026-05-23 08:40:00,0
78,user_042,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:04:00,KRL_SUDIRMAN,2026-05-23 08:37:00,0
79,user_086,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:10:00,KRL_SUDIRMAN,2026-05-23 08:42:00,0
80,user_071,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:18:00,KRL_SUDIRMAN,2026-05-23 08:26:00,0
81,user_060,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:36:00,MRT_DUKUH_ATAS,2026-05-23 08:12:00,1
82,user_102,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:26:00,KRL_SUDIRMAN,2026-05-23 08:44:00,0
83,user_012,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:36:00,MRT_DUKUH_ATAS,2026-05-23 07:59:00,0
84,user_004,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:28:00,TJ_SENAYAN,2026-05-23 07:38:00,0
85,user_059,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:00:00,TJ_BLOK_M,2026-05-23 08:34:00,0
86,user_052,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:31:00,KRL_SUDIRMAN,2026-05-23 08:54:00,0
87,user_100,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:23:00,TJ_BLOK_M,2026-05-23 08:58:00,0
88,user_007,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:22:00,KRL_SUDIRMAN,2026-05-23 08:05:00,0
89,user_018,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:57:00,KRL_SUDIRMAN,2026-05-23 09:34:00,0
90,user_107,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:36:00,KRL_SUDIRMAN,2026-05-23 09:19:00,1
91,user_058,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:54:00,KRL_SUDIRMAN,2026-05-23 09:18:00,0
92,user_081,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:47:00,KRL_SUDIRMAN,2026-05-23 09:10:00,0
93,user_031,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:56:00,MRT_DUKUH_ATAS,2026-05-23 08:21:00,0
94,user_018,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:40:00,TJ_BLOK_M,2026-05-23 07:57:00,0
95,user_009,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:49:00,TJ_SENAYAN,2026-05-23 08:23:00,1
96,user_008,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:42:00,KRL_SUDIRMAN,2026-05-23 08:03:00,1
97,user_110,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 07:49:00,TJ_BLOK_M,2026-05-23 08:33:00,1
98,user_039,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:01:00,MRT_DUKUH_ATAS,2026-05-23 08:33:00,1
99,user_063,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:08:00,TJ_SENAYAN,2026-05-23 08:30:00,0
100,user_044,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:55:00,KRL_SUDIRMAN,2026-05-23 08:28:00,0
101,user_080,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 08:47:00,TJ_DUKUH_ATAS,2026-05-23 09:29:00,0
102,user_011,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 08:56:00,TJ_BLOK_M,2026-05-23 09:31:00,0
103,user_034,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 08:50:00,TJ_BLOK_M,2026-05-23 09:22:00,0
104,user_098,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:27:00,MRT_DUKUH_ATAS,2026-05-23 07:59:00,0
105,user_033,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 08:36:00,MRT_DUKUH_ATAS,2026-05-23 08:49:00,1
106,user_045,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:02:00,TJ_BLOK_M,2026-05-23 07:24:00,0
107,user_097,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 08:39:00,TJ_BLOK_M,2026-05-23 08:48:00,0
108,user_031,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:25:00,TJ_SENAYAN,2026-05-23 07:41:00,1
109,user_060,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:25:00,TJ_DUKUH_ATAS,2026-05-23 08:49:00,0
110,user_100,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:21:00,TJ_BLOK_M,2026-05-23 07:39:00,0
111,user_074,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:13:00,MRT_DUKUH_ATAS,2026-05-23 07:45:00,1
112,user_076,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 09:00:00,TJ_BLOK_M,2026-05-23 09:23:00,0
113,user_102,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:29:00,TJ_BLOK_M,2026-05-23 09:13:00,0
114,user_009,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:44:00,MRT_DUKUH_ATAS,2026-05-23 08:24:00,0
115,user_014,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:01:00,KRL_SUDIRMAN,2026-05-23 07:36:00,0
116,user_091,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:21:00,KRL_SUDIRMAN,2026-05-23 08:38:00,1
117,user_079,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:22:00,MRT_DUKUH_ATAS,2026-05-23 08:04:00,1
118,user_042,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:59:00,MRT_DUKUH_ATAS,2026-05-23 08:22:00,0
119,user_097,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:35:00,TJ_SENAYAN,2026-05-23 08:12:00,1
120,user_024,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:43:00,MRT_DUKUH_ATAS,2026-05-23 08:22:00,0
121,user_036,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:45:00,TJ_DUKUH_ATAS,2026-05-23 08:10:00,0
122,user_031,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 08:06:00,TJ_BLOK_M,2026-05-23 08:40:00,1
123,user_083,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:11:00,KRL_SUDIRMAN,2026-05-23 08:50:00,1
124,user_029,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:41:00,MRT_DUKUH_ATAS,2026-05-23 09:14:00,0
125,user_061,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:39:00,MRT_DUKUH_ATAS,2026-05-23 08:22:00,0
126,user_046,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 07:54:00,TJ_DUKUH_ATAS,2026-05-23 08:31:00,0
127,user_093,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:39:00,TJ_SENAYAN,2026-05-23 07:59:00,0
128,user_025,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:15:00,TJ_SENAYAN,2026-05-23 07:36:00,1
129,user_013,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:35:00,MRT_DUKUH_ATAS,2026-05-23 07:55:00,0
130,user_002,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:29:00,MRT_DUKUH_ATAS,2026-05-23 08:11:00,0
131,user_071,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:35:00,TJ_SENAYAN,2026-05-23 08:01:00,0
132,user_014,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:21:00,KRL_SUDIRMAN,2026-05-23 08:29:00,0
133,user_024,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 08:00:00,MRT_DUKUH_ATAS,2026-05-23 08:11:00,0
134,user_106,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 09:00:00,TJ_BLOK_M,2026-05-23 09:12:00,1
135,user_020,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:02:00,TJ_SENAYAN,2026-05-23 08:19:00,0
136,user_072,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 07:10:00,TJ_BLOK_M,2026-05-23 07:44:00,0
137,user_117,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 08:39:00,KRL_SUDIRMAN,2026-05-23 09:15:00,0
138,user_040,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:50:00,KRL_SUDIRMAN,2026-05-23 09:34:00,0
139,user_098,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 08:18:00,TJ_BLOK_M,2026-05-23 08:39:00,0
140,user_031,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:33:00,TJ_SENAYAN,2026-05-23 07:52:00,0
141,user_089,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:20:00,KRL_SUDIRMAN,2026-05-23 07:58:00,0
142,user_090,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:04:00,MRT_DUKUH_ATAS,2026-05-23 07:41:00,0
143,user_101,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:27:00,MRT_DUKUH_ATAS,2026-05-23 09:12:00,0
144,user_083,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:54:00,TJ_DUKUH_ATAS,2026-05-23 08:11:00,0
145,user_022,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:45:00,TJ_SENAYAN,2026-05-23 09:12:00,0
146,user_090,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:56:00,MRT_DUKUH_ATAS,2026-05-23 08:29:00,0
147,user_011,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 08:04:00,KRL_SUDIRMAN,2026-05-23 08:14:00,1
148,user_004,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:34:00,MRT_DUKUH_ATAS,2026-05-23 08:47:00,0
149,user_098,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:26:00,TJ_BLOK_M,2026-05-23 08:51:00,0
150,user_067,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:37:00,KRL_SUDIRMAN,2026-05-23 09:13:00,0
151,user_082,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 07:23:00,MRT_DUKUH_ATAS,2026-05-23 08:02:00,0
152,user_042,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:00:00,MRT_DUKUH_ATAS,2026-05-23 08:14:00,0
153,user_037,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:42:00,KRL_SUDIRMAN,2026-05-23 08:15:00,0
154,user_042,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:58:00,MRT_DUKUH_ATAS,2026-05-23 08:13:00,1
155,user_085,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 08:50:00,TJ_BLOK_M,2026-05-23 09:32:00,1
156,user_080,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:52:00,MRT_DUKUH_ATAS,2026-05-23 08:31:00,1
157,user_071,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:37:00,MRT_DUKUH_ATAS,2026-05-23 08:53:00,0
158,user_016,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:56:00,KRL_SUDIRMAN,2026-05-23 08:05:00,0
159,user_071,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:30:00,TJ_SENAYAN,2026-05-23 09:04:00,0
160,user_060,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 07:28:00,TJ_BLOK_M,2026-05-23 07:43:00,0
161,user_066,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 08:03:00,TJ_DUKUH_ATAS,2026-05-23 08:28:00,1
162,user_032,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 08:46:00,KRL_SUDIRMAN,2026-05-23 09:23:00,0
163,user_111,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:49:00,TJ_DUKUH_ATAS,2026-05-23 08:01:00,0
164,user_044,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:38:00,KRL_SUDIRMAN,2026-05-23 09:18:00,0
165,user_108,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:45:00,MRT_DUKUH_ATAS,2026-05-23 09:30:00,1
166,user_045,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:50:00,KRL_SUDIRMAN,2026-05-23 09:19:00,1
167,user_090,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 07:58:00,TJ_SENAYAN,2026-05-23 08:21:00,1
168,user_006,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:29:00,KRL_SUDIRMAN,2026-05-23 07:57:00,1
169,user_050,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 08:30:00,MRT_DUKUH_ATAS,2026-05-23 08:47:00,1
170,user_112,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:04:00,MRT_DUKUH_ATAS,2026-05-23 07:18:00,1
171,user_002,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:12:00,KRL_SUDIRMAN,2026-05-23 07:29:00,1
172,user_010,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:51:00,TJ_SENAYAN,2026-05-23 09:29:00,0
173,user_084,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 07:43:00,KRL_SUDIRMAN,2026-05-23 07:56:00,0
174,user_041,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:49:00,KRL_SUDIRMAN,2026-05-23 09:28:00,0
175,user_030,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:19:00,MRT_DUKUH_ATAS,2026-05-23 08:32:00,1
176,user_057,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:12:00,TJ_BLOK_M,2026-05-23 07:30:00,0
177,user_102,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:55:00,MRT_DUKUH_ATAS,2026-05-23 09:06:00,0
178,user_032,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:45:00,TJ_DUKUH_ATAS,2026-05-23 08:26:00,1
179,user_022,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:12:00,TJ_SENAYAN,2026-05-23 08:31:00,0
180,user_064,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:18:00,TJ_SENAYAN,2026-05-23 09:03:00,0
181,user_059,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:29:00,MRT_DUKUH_ATAS,2026-05-23 07:53:00,0
182,user_087,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:55:00,TJ_DUKUH_ATAS,2026-05-23 09:37:00,0
183,user_076,Transjakarta,TJ_1,TJ_SENAYAN,2026-05-23 07:09:00,MRT_DUKUH_ATAS,2026-05-23 07:36:00,1
184,user_026,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 08:28:00,MRT_DUKUH_ATAS,2026-05-23 09:00:00,1
185,user_074,Transjakarta,TJ_1,TJ_BLOK_M,2026-05-23 07:13:00,MRT_DUKUH_ATAS,2026-05-23 07:39:00,0
186,user_036,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 07:02:00,MRT_DUKUH_ATAS,2026-05-23 07:10:00,0
187,user_107,Transjakarta,TJ_1,TJ_DUKUH_ATAS,2026-05-23 08:56:00,KRL_SUDIRMAN,2026-05-23 09:22:00,0
188,user_082,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:17:00,TJ_SENAYAN,2026-05-23 08:37:00,0
189,user_081,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 08:26:00,TJ_SENAYAN,2026-05-23 08:40:00,0
190,user_075,MRT,MRT_NS,MRT_DUKUH_ATAS,2026-05-23 07:39:00,TJ_BLOK_M,2026-05-23 08:10:00,0
191,user_096,KRL,KRL_BK,KRL_SUDIRMAN,2026-05-23 07:11:00,TJ_DUKUH_ATAS,2026-05-23 07:45:00,0
